term	idf
aa	6.451992
aa wiederholt	6.634313
ab	2.379174
ab aber	6.509150
ab dann	6.857457
ab das	5.471162
ab dass	6.297841
ab dem	4.809764
ab denn	6.509150
ab der	6.010159
ab die	5.430340
ab für	6.297841
ab herzlichen	6.703306
ab ich	6.123488
ab in	6.703306
ab jetzt	6.944468
ab meine	6.346631
ab mit	6.569775
ab nicht	6.944468
ab sie	6.346631
ab so	6.944468
ab um	6.944468
ab und	4.546573
ab vielen	5.137671
ab was	6.703306
ab weil	6.451992
ab wie	6.777414
ab wir	5.604694
abarbeiten	6.451992
abbau	5.264826
abbau von	5.704777
abbauen	4.842554
abbauen und	6.251321
abbaut	6.634313
abbilden	6.569775
abbildet	6.634313
abend	5.152709
abends	6.084267
aber all	6.634313
aber alle	6.206869
aber alles	6.084267
aber als	6.164310
aber am	5.628791
aber an	5.975068
aber anstatt	6.857457
aber auch	2.288778
aber auf	5.558174
aber aus	6.164310
aber bei	5.199229
aber beim	6.634313
aber besonders	6.777414
aber bis	6.703306
aber bitte	5.908376
aber da	5.513722
aber dafür	5.372072
aber damit	6.346631
aber dann	5.038298
aber darum	6.777414
aber darüber	6.777414
aber das	3.200326
aber dass	4.899712
aber davon	6.944468
aber dazu	6.346631
aber den	5.731446
aber dennoch	6.703306
aber der	4.305411
aber deutschland	6.251321
aber die	3.174847
aber diese	4.853727
aber dieser	5.941166
aber dieses	6.206869
aber doch	6.010159
aber durch	6.634313
aber eben	4.415110
aber ehrlich	6.634313
aber eigentlich	6.944468
aber ein	4.831504
aber eine	4.831504
aber einen	6.123488
aber eines	5.704777
aber eins	6.397925
aber entscheidend	6.857457
aber er	4.960337
aber erst	6.346631
aber es	3.127755
aber etwas	6.703306
aber fest	6.944468
aber frau	6.944468
aber für	4.707635
aber ganz	5.353379
aber gar	6.451992
aber geld	6.777414
aber genau	5.065697
aber genauso	6.084267
aber gerade	5.430340
aber gerne	6.944468
aber gleichzeitig	5.450543
aber gut	6.397925
aber herr	5.558174
aber heute	6.397925
aber hier	5.845856
aber ich	3.467433
aber ihr	6.010159
aber ihre	5.787015
aber im	5.152709
aber immer	5.604694
aber immerhin	6.509150
aber in	4.116617
aber insbesondere	6.569775
aber ist	5.535701
aber ja	6.346631
aber jeder	6.857457
aber jetzt	4.923523
aber kaum	6.509150
aber kein	5.248019
aber keine	4.842554
aber keinen	6.397925
aber klar	5.758845
aber kommen	6.944468
aber lassen	5.941166
aber leider	5.065697
aber liebe	5.492216
aber machen	6.703306
aber mal	6.206869
aber man	5.581163
aber mehr	6.451992
aber meine	5.051904
aber mit	4.614976
aber nach	6.046527
aber natürlich	5.215229
aber nein	6.451992
aber nicht	2.986256
aber nichts	6.084267
aber nie	6.857457
aber niemals	6.857457
aber noch	4.651016
aber nun	6.451992
aber nur	4.530179
aber ohne	5.758845
aber schauen	6.346631
aber schon	5.731446
aber sehr	6.046527
aber seit	6.509150
aber selbst	6.046527
aber selbstverständlich	6.569775
aber sicher	6.634313
aber sie	3.434281
aber so	5.167976
aber statt	6.569775
aber tatsächlich	6.569775
aber trotzdem	5.845856
aber um	5.975068
aber und	5.558174
aber unser	6.857457
aber unsere	5.816003
aber viel	6.777414
aber vielleicht	6.084267
aber von	5.731446
aber vor	4.727243
aber warum	5.816003
aber was	4.100616
aber weder	6.944468
aber weil	6.569775
aber weiter	6.777414
aber wenn	4.079673
aber wer	5.199229
aber wichtig	6.944468
aber wie	5.317012
aber wieder	6.777414
aber wir	3.014427
aber wirklich	6.634313
aber wissen	6.206869
aber wo	6.010159
aber wollen	6.857457
aber zu	5.558174
aber zum	6.010159
aber zur	6.010159
aber zurück	6.944468
aber über	6.397925
abermilliarden	6.777414
abfedern	6.857457
abfinden	6.509150
abfließen	6.703306
abfälle	6.634313
abgabe	5.628791
abgaben	4.820575
abgaben und	6.251321
abgabenlast	6.703306
abgebaut	5.450543
abgebaut werden	6.297841
abgeben	5.908376
abgebildet	6.206869
abgegeben	5.908376
abgegebene	6.569775
abgegebene versprechen	6.569775
abgehoben	6.944468
abgehängt	5.731446
abgelaufen	4.799069
abgelaufen dr	6.634313
abgelehnt	4.799069
abgelehnte	6.944468
abgemildert	6.857457
abgemildert werden	6.944468
abgeordnete	2.253955
abgeordnete alexander	6.857457
abgeordnete aus	6.944468
abgeordnete christian	6.944468
abgeordnete clara	6.857457
abgeordnete der	6.010159
abgeordnete die	6.123488
abgeordnete dr	4.482551
abgeordnete frau	6.569775
abgeordnete herr	4.831504
abgeordnete ich	6.509150
abgeordnete jan	6.944468
abgeordnete lassen	6.569775
abgeordnete liebe	5.941166
abgeordnete sebastian	6.857457
abgeordnete sehr	6.944468
abgeordnete sonja	6.944468
abgeordnete stefan	6.703306
abgeordnete stephan	6.777414
abgeordnete und	6.569775
abgeordnete wir	6.857457
abgeordnete würden	6.397925
abgeordneten	3.206799
abgeordneten der	6.010159
abgeordneten die	6.944468
abgeordneten dr	6.251321
abgeordneten in	6.857457
abgeordneten und	6.569775
abgeordneter	3.228681
abgeordneter dr	5.535701
abgeordneter gestatten	6.634313
abgeordneter ihre	6.944468
abgeordneter lassen	5.758845
abgeordneter würden	5.535701
abgerufen	6.297841
abgesagt	6.509150
abgeschafft	4.467166
abgeschafft und	6.703306
abgeschafft werden	5.758845
abgeschaltet	6.123488
abgeschlossen	5.199229
abgeschlossen werden	6.777414
abgeschnitten	6.944468
abgeschoben	5.816003
abgeschoben werden	6.397925
abgeschrieben	6.451992
abgesehen	5.581163
abgesehen davon	6.451992
abgesehen von	6.944468
abgesenkt	6.297841
abgesenkt werden	6.857457
abgesetzt	6.944468
abgesichert	5.492216
abgestellt	6.703306
abgestimmt	5.628791
abgewickelt	6.777414
abgewogen	6.777414
abgewählt	6.944468
abgewählten	6.857457
abgezogen	6.509150
abgrund	6.010159
abhalten	6.569775
abhilfe	6.857457
abhängen	6.084267
abhängig	4.606165
abhängig gemacht	6.857457
abhängig sind	6.451992
abhängig von	5.908376
abhängigkeit	4.717391
abhängigkeit von	5.430340
abhängigkeiten	4.935644
abhängt	6.123488
abkehr	6.569775
abkehr von	6.944468
abkommen	4.960337
abkommen mit	6.397925
abkürzung	6.857457
ablasshandel	6.703306
ablauf	6.634313
ablehnen	4.717391
ablehnen und	6.703306
ablehnen vielen	6.857457
ablehnende	6.857457
ablehnt	6.346631
ablehnung	5.678802
ableiten	6.944468
ablenken	6.777414
ablenkungsmanöver	6.857457
ablesen	6.857457
abläufe	6.634313
abnehmen	6.703306
abrechnung	6.777414
abreißen	6.857457
abrissbirne	6.777414
absage	6.084267
absage an	6.703306
absatz	4.688403
absatz aufenthaltsgesetz	6.509150
absatz des	6.297841
absatz grundgesetz	6.634313
absatz satz	6.857457
abschaffen	4.079673
abschaffen das	6.451992
abschaffen die	6.703306
abschaffen und	5.816003
abschaffen will	6.857457
abschaffen wir	6.944468
abschaffen wollen	6.703306
abschaffung	4.034096
abschaffung der	4.623865
abschaffung des	5.093868
abschalten	6.944468
abschaltung	6.703306
abscheidung	6.569775
abschiebehaft	6.010159
abschieben	5.704777
abschiebung	5.513722
abschiebungen	5.471162
abschließen	5.653484
abschließend	4.482551
abschließend noch	6.634313
abschließende	6.010159
abschließende redner	6.777414
abschluss	4.522082
abschluss eines	6.451992
abschluss möchte	6.944468
abschluss noch	6.944468
abschneiden	6.857457
abschottung	5.731446
abschottung und	6.703306
abschrecken	6.634313
abschreckung	5.372072
abschreckung und	6.397925
abschreibung	6.206869
abschreibungen	6.569775
abschreibungsmöglichkeiten	6.164310
absehbar	5.471162
absehbar zu	6.944468
absehbare	6.703306
absehbare demografische	6.944468
absehbarer	6.634313
absehbarer zeit	6.944468
abseits	6.346631
absenken	6.297841
absenkung	5.215229
absenkung der	5.558174
absenkung des	6.857457
absichern	5.845856
absicherung	5.513722
absicht	5.535701
absichten	5.941166
absichtlich	6.634313
absichtserklärungen	6.634313
absolut	4.206565
absolut notwendig	6.857457
absolut richtig	6.206869
absolute	5.281920
absoluten	6.084267
absoluter	6.206869
absprache	6.703306
absprechen	6.857457
abstand	5.492216
abstieg	6.703306
abstimmen	5.876628
abstimmung	4.415110
abstimmung mit	6.046527
abstimmung über	6.010159
abstimmungen	6.634313
abstrakt	6.397925
abstrakte	5.787015
abstrakten	6.569775
abstraktes	6.509150
abstriche	6.944468
absurd	4.632833
absurd das	6.703306
absurd ist	6.857457
absurde	6.010159
absurden	6.164310
absurder	6.703306
absurdität	6.703306
absurdum	6.703306
abteilung	6.451992
abteilungen	6.944468
abverlangt	6.857457
abwandern	6.703306
abwanderung	6.251321
abwarten	6.451992
abwehr	6.084267
abwehren	6.944468
abwenden	6.397925
abwesenheit	6.634313
abwicklung	6.777414
abwägung	6.084267
abziehen	6.569775
abzielt	6.944468
abzubauen	5.628791
abzug	6.944468
abzugeben	6.703306
abzulehnen	5.678802
abzulenken	6.397925
abzuschaffen	5.093868
abzuschaffen und	6.703306
abzuschließen	6.777414
abzusichern	6.297841
abzuwehren	6.857457
abzuwenden	6.634313
ach	5.372072
ach so	6.509150
achelwilm	6.451992
acht	4.660232
acht jahre	6.346631
acht jahren	6.397925
acht lassen	6.509150
acht wochen	6.857457
achten	4.498176
achten dass	5.471162
achtet	6.451992
achtstundentag	6.397925
achtung	5.372072
acker	6.857457
act	5.513722
ad	6.251321
ad absurdum	6.703306
adam	6.703306
adam balten	6.777414
adenauer	5.975068
adis	6.451992
adis ahmetovic	6.509150
administration	5.975068
adresse	6.164310
adresse der	6.777414
adressen	6.084267
adressen speicherung	6.944468
adressieren	5.941166
adressiert	5.653484
aeikens	6.703306
afd aber	6.251321
afd abgeordnete	6.777414
afd abgeordneten	6.397925
afd als	6.451992
afd also	6.703306
afd an	6.569775
afd antrag	5.975068
afd auch	6.346631
afd auf	6.569775
afd behauptet	6.703306
afd bei	6.703306
afd bundestagsfraktion	6.397925
afd danke	6.397925
afd dann	6.944468
afd das	5.079684
afd dass	6.944468
afd den	6.397925
afd denn	6.857457
afd der	5.704777
afd die	4.727243
afd diese	6.634313
afd ein	6.251321
afd eine	6.569775
afd es	5.876628
afd fordern	6.634313
afd fordert	5.816003
afd fraktion	2.458901
afd für	6.164310
afd geht	6.010159
afd haben	6.010159
afd hat	4.923523
afd herr	5.975068
afd heute	6.569775
afd hier	5.513722
afd hingegen	6.857457
afd ich	5.353379
afd ihre	6.944468
afd im	6.206869
afd immer	6.703306
afd in	5.137671
afd ist	4.678924
afd ja	5.678802
afd meine	6.634313
afd mit	5.704777
afd nein	6.397925
afd nicht	5.628791
afd noch	6.857457
afd regierung	6.046527
afd sagen	5.581163
afd sagt	6.857457
afd sehr	6.569775
afd sich	6.634313
afd sie	5.450543
afd sind	5.876628
afd stehen	6.777414
afd steht	5.704777
afd und	4.865027
afd versucht	6.944468
afd vielen	5.450543
afd vor	6.509150
afd wenn	6.397925
afd werden	6.451992
afd wie	6.944468
afd will	5.558174
afd wir	5.678802
afd wird	5.908376
afd wollen	6.397925
afd zu	5.816003
afghanen	5.167976
afghanen die	6.857457
afghanen ist	6.509150
afghanen lösungen	6.569775
afghanen sind	6.451992
afghaninnen	6.251321
afghaninnen und	6.251321
afghanische	5.678802
afghanische staatsangehörige	6.397925
afghanischen	5.816003
afghanischen staatsbürger	6.777414
afghanistan	4.459562
afghanistan oder	6.251321
afghanistan und	6.634313
afrika	5.137671
afrikanische	6.857457
afrikanischen	6.297841
ag	5.704777
